survey_id,file_name,survey_year,survey_month,survey_quarter,survey_period,time_status,include_in_time_trend,metric_family,metric_id,metric_name,variable,variable_label,question_leader_primary,group_type,group,response_option,share_weighted_valid,n_option_unweighted,n_valid_unweighted,n_total_group_unweighted,weighted_base_valid,sample_confidence,include_in_app_draft,data_status
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_approval,leader_approval_αλεξηστσιπρασ,Έγκριση/αποδοχή: Αλέξης Τσίπρας,var13,"24. Generally speaking, do you approve or disapprove of the job that is being done by Alexis Tsipras as Prime Minister?",Αλέξης Τσίπρας,gender,female,negative_approval,62.6069,526,800,814,1618.3071,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_approval,leader_approval_αλεξηστσιπρασ,Έγκριση/αποδοχή: Αλέξης Τσίπρας,var13,"24. Generally speaking, do you approve or disapprove of the job that is being done by Alexis Tsipras as Prime Minister?",Αλέξης Τσίπρας,gender,female,positive_approval,37.3931,274,800,814,1618.3071,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_approval,leader_approval_κυριακοσμητσοτακησ,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,var14,"25. Generally speaking, do you approve or disapprove of the job that is being done by Kyriakos Mitsotakis as head of the New Democracy Party (ND)?",Κυριάκος Μητσοτάκης,gender,female,negative_approval,69.3248,500,756,814,1538.5231,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_approval,leader_approval_κυριακοσμητσοτακησ,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,var14,"25. Generally speaking, do you approve or disapprove of the job that is being done by Kyriakos Mitsotakis as head of the New Democracy Party (ND)?",Κυριάκος Μητσοτάκης,gender,female,positive_approval,30.6752,256,756,814,1538.5231,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,stability,Σταθερότητα χώρας,var36,53. Will maintain stability in the country,,gender,female,both,2.5108,12,548,814,1124.0333,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,stability,Σταθερότητα χώρας,var36,53. Will maintain stability in the country,,gender,female,Αλέξης Τσίπρας,50.4989,259,548,814,1124.0333,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,stability,Σταθερότητα χώρας,var36,53. Will maintain stability in the country,,gender,female,Κυριάκος Μητσοτάκης,46.9903,277,548,814,1124.0333,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,close_to_people,Κοντά στους πολίτες,var32,48. Cares about people like me,,gender,female,both,1.0492,4,437,814,890.0915,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,close_to_people,Κοντά στους πολίτες,var32,48. Cares about people like me,,gender,female,Αλέξης Τσίπρας,58.876,239,437,814,890.0915,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,close_to_people,Κοντά στους πολίτες,var32,48. Cares about people like me,,gender,female,Κυριάκος Μητσοτάκης,40.0748,194,437,814,890.0915,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,economic_competence,Ικανότητα στην οικονομία,var34,50. Understands how the economy works,,gender,female,both,4.8599,25,561,814,1128.1812,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,economic_competence,Ικανότητα στην οικονομία,var34,50. Understands how the economy works,,gender,female,Αλέξης Τσίπρας,41.1221,213,561,814,1128.1812,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,economic_competence,Ικανότητα στην οικονομία,var34,50. Understands how the economy works,,gender,female,Κυριάκος Μητσοτάκης,54.018,323,561,814,1128.1812,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,honesty_integrity,Εντιμότητα / ακεραιότητα,var33,49. Honest,,gender,female,both,0.3452,1,448,814,921.3756,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,honesty_integrity,Εντιμότητα / ακεραιότητα,var33,49. Honest,,gender,female,Αλέξης Τσίπρας,53.3911,221,448,814,921.3756,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,honesty_integrity,Εντιμότητα / ακεραιότητα,var33,49. Honest,,gender,female,Κυριάκος Μητσοτάκης,46.2637,226,448,814,921.3756,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,hope,Δίνει ελπίδα,var31,47. Gives me hope,,gender,female,Αλέξης Τσίπρας,55.4682,256,504,814,1024.0403,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,hope,Δίνει ελπίδα,var31,47. Gives me hope,,gender,female,Κυριάκος Μητσοτάκης,44.5318,248,504,814,1024.0403,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,international_respect,Σεβασμός από Ευρωπαίους ηγέτες,var30,46. Is respected by EU leaders,,gender,female,both,4.1842,25,576,814,1172.5325,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,international_respect,Σεβασμός από Ευρωπαίους ηγέτες,var30,46. Is respected by EU leaders,,gender,female,Αλέξης Τσίπρας,51.5694,275,576,814,1172.5325,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,international_respect,Σεβασμός από Ευρωπαίους ηγέτες,var30,46. Is respected by EU leaders,,gender,female,Κυριάκος Μητσοτάκης,44.2464,276,576,814,1172.5325,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,patriotism,Πατριωτισμός,var35,52. Is a patriot,,gender,female,both,6.6531,32,478,814,966.592,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,patriotism,Πατριωτισμός,var35,52. Is a patriot,,gender,female,Αλέξης Τσίπρας,45.1342,195,478,814,966.592,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,patriotism,Πατριωτισμός,var35,52. Is a patriot,,gender,female,Κυριάκος Μητσοτάκης,48.2128,251,478,814,966.592,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,strong_leadership,Ηγετικά προσόντα / ισχυρός ηγέτης,var29,"45. Is a strong leader:Irrespective of your electoral preferences, between Alexis Tsipras and Kyriakos Mitsotakis, who is best described by the following statements?",,gender,female,both,0.9632,5,455,814,941.5374,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,strong_leadership,Ηγετικά προσόντα / ισχυρός ηγέτης,var29,"45. Is a strong leader:Irrespective of your electoral preferences, between Alexis Tsipras and Kyriakos Mitsotakis, who is best described by the following statements?",,gender,female,Αλέξης Τσίπρας,64.6902,276,455,814,941.5374,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,strong_leadership,Ηγετικά προσόντα / ισχυρός ηγέτης,var29,"45. Is a strong leader:Irrespective of your electoral preferences, between Alexis Tsipras and Kyriakos Mitsotakis, who is best described by the following statements?",,gender,female,Κυριάκος Μητσοτάκης,34.3466,174,455,814,941.5374,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_approval,leader_approval_αλεξηστσιπρασ,Έγκριση/αποδοχή: Αλέξης Τσίπρας,var13,"24. Generally speaking, do you approve or disapprove of the job that is being done by Alexis Tsipras as Prime Minister?",Αλέξης Τσίπρας,gender,male,negative_approval,68.4844,573,837,852,1451.003,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_approval,leader_approval_αλεξηστσιπρασ,Έγκριση/αποδοχή: Αλέξης Τσίπρας,var13,"24. Generally speaking, do you approve or disapprove of the job that is being done by Alexis Tsipras as Prime Minister?",Αλέξης Τσίπρας,gender,male,positive_approval,31.5156,264,837,852,1451.003,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_approval,leader_approval_κυριακοσμητσοτακησ,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,var14,"25. Generally speaking, do you approve or disapprove of the job that is being done by Kyriakos Mitsotakis as head of the New Democracy Party (ND)?",Κυριάκος Μητσοτάκης,gender,male,negative_approval,68.5432,566,821,852,1423.0648,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_approval,leader_approval_κυριακοσμητσοτακησ,Έγκριση/αποδοχή: Κυριάκος Μητσοτάκης,var14,"25. Generally speaking, do you approve or disapprove of the job that is being done by Kyriakos Mitsotakis as head of the New Democracy Party (ND)?",Κυριάκος Μητσοτάκης,gender,male,positive_approval,31.4568,255,821,852,1423.0648,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,stability,Σταθερότητα χώρας,var36,53. Will maintain stability in the country,,gender,male,both,2.519,14,533,852,936.5586,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,stability,Σταθερότητα χώρας,var36,53. Will maintain stability in the country,,gender,male,Αλέξης Τσίπρας,46.1444,248,533,852,936.5586,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,stability,Σταθερότητα χώρας,var36,53. Will maintain stability in the country,,gender,male,Κυριάκος Μητσοτάκης,51.3366,271,533,852,936.5586,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,close_to_people,Κοντά στους πολίτες,var32,48. Cares about people like me,,gender,male,both,0.5668,3,418,852,725.9126,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,close_to_people,Κοντά στους πολίτες,var32,48. Cares about people like me,,gender,male,Αλέξης Τσίπρας,52.6268,221,418,852,725.9126,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,close_to_people,Κοντά στους πολίτες,var32,48. Cares about people like me,,gender,male,Κυριάκος Μητσοτάκης,46.8064,194,418,852,725.9126,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,economic_competence,Ικανότητα στην οικονομία,var34,50. Understands how the economy works,,gender,male,both,8.1725,46,553,852,957.09,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,economic_competence,Ικανότητα στην οικονομία,var34,50. Understands how the economy works,,gender,male,Αλέξης Τσίπρας,30.4051,168,553,852,957.09,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,economic_competence,Ικανότητα στην οικονομία,var34,50. Understands how the economy works,,gender,male,Κυριάκος Μητσοτάκης,61.4224,339,553,852,957.09,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,honesty_integrity,Εντιμότητα / ακεραιότητα,var33,49. Honest,,gender,male,both,0.5619,2,433,852,757.3898,high,True,ok
SURVEY_01,FinalSample_EuroelectionsENG.sav,2019.0,4.0,Q2,2019-Q2,auto_from_sav_date_column:Vdatesub,True,leader_trait,honesty_integrity,Εντιμότητα / ακεραιότητα,var33,49. Honest,,gender,male,Αλέξης Τσίπρας,41.8762,184,433,852,757.3898,high,True,ok
